Rank	Mountain peak	State	Mountain Range	Elevation	Prominence	Isolation	Location
114	Lassen Peak[266][267][268]	 California	Cascade Range	"10,462 ft
3188.7 m"	"5,229 ft
1594 m"	"71.4 mi
114.9 km"	40.4882°N 121.5050°W
115	Mount Deborah[269][270][dv]	 Alaska	Alaska Range	"12,339 ft
3761 m"	"5,189 ft
1582 m"	"16.08 mi
25.9 km"	63.6377°N 147.2384°W
116	"Necons Peak[271][272]
(Peak 8336)"	 Alaska	Alaska Range	"8,336 ft
2541 m"	"5,186 ft
1581 m"	"21.9 mi
35.3 km"	61.1125°N 153.4690°W
117	Abercrombie Mountain[273][274][dw]	 Washington	Columbia Mountains	"7,312 ft
2229 m"	"5,178 ft
1578 m"	"14.04 mi
22.6 km"	48.9284°N 117.4600°W
118	Mount Lemmon[275][276][dx][dy]	 Arizona	Santa Catalina Mountains	"9,160 ft
2792 m"	"5,177 ft
1578 m"	"51.5 mi
82.9 km"	32.4430°N 110.7885°W
119	Gareloi Volcano[277][278][279][dz][ea]	 Alaska	Gareloi Island	"5,160 ft
1573 m"	"5,160 ft
1573 m"	"28.6 mi
46.1 km"	51.7880°N 178.7940°W
120	Chiricahua Peak[280][281][eb][ec]	 Arizona	Chiricahua Mountains	"9,763 ft
2976 m"	"5,149 ft
1569 m"	"64.2 mi
103.3 km"	31.8456°N 109.2910°W
121	"Stony Peak[282][283]
(Peak 8488)"	 Alaska	Alaska Range	"8,488 ft
2587 m"	"5,138 ft
1566 m"	"11.92 mi
19.19 km"	61.4950°N 153.6224°W
122	Mount Eddy[284][285][286][ed]	 California	Klamath Mountains	"9,037 ft
2754.6 m"	"5,125 ft
1562 m"	"14.58 mi
23.5 km"	41.3196°N 122.4790°W
123	Mount Augusta[287][288]	" Alaska
 Yukon"	Saint Elias Mountains	"14,070 ft
4289 m"	"5,082 ft
1549 m"	"14.41 mi
23.2 km"	60.3074°N 140.4584°W
124	"Copper Peak[289][290]
(Peak 6915)"	 Alaska	Chugach Mountains	"6,915 ft
2108 m"	"5,065 ft
1544 m"	"11.1 mi
17.87 km"	61.3297°N 144.9599°W
125	Mount Bear[291][292]	 Alaska	Saint Elias Mountains	"14,831 ft
4520 m"	"5,054 ft
1540 m"	"20.1 mi
32.4 km"	61.2834°N 141.1433°W
126	Korovin Volcano[293][294][ee]	 Alaska	Atka Island	"5,030 ft
1533 m"	"5,030 ft
1533 m"	"85.2 mi
137.2 km"	52.3816°N 174.1653°W
127	Miller Peak[295][296][ef][eg]	 Arizona	Huachuca Mountains	"9,470 ft
2886 m"	"5,011 ft
1527 m"	"66.5 mi
107 km"	31.3928°N 110.2930°W
128	Kamakou[297][298][eh]	 Hawaii	Island of Molokaʻi	"4,961 ft
1512 m"	"4,961 ft
1512 m"	"23.5 mi
37.8 km"	21.1065°N 156.8682°W
129	Mount Marcy[299][300][ei]	 New York	Adirondack Mountains	"5,343 ft
1628.57 m"	"4,919 ft
1499 m"	"129.6 mi
209 km"	44.1127°N 73.9237°W
130	Mount Moriah[301][302][303]	 Nevada	Snake Range	"12,072 ft
3679.6 m"	"4,909 ft
1496 m"	"20.3 mi
32.7 km"	39.2732°N 114.1988°W
131	Jackson Mountain[304][305][ej][ek]	 Nevada	Black Rock Desert	"9,099 ft
2773 m"	"4,879 ft
1487 m"	"29.2 mi
46.9 km"	41.3033°N 118.4163°W
132	Mount Linn[306][307][el][em]	 California	Northern California Coast Range	"8,098 ft
2468 m"	"4,854 ft
1480 m"	"61.5 mi
98.9 km"	40.0365°N 122.8542°W
133	Mount Tobin[308][309][310][en]	 Nevada	Tobin Range	"9,778 ft
2980.4 m"	"4,851 ft
1479 m"	"35.4 mi
57 km"	40.3765°N 117.5261°W
134	Kootznoowoo Peak[311][eo]	 Alaska	Admiralty Island	"4,850 ft
1478.3 m"	"4,850 ft
1478 m"	"35.7 mi
57.5 km"	57.7891°N 134.4546°W
135	Hole in the Mountain Peak[312][313][ep][eq]	 Nevada	East Humboldt Range	"11,311 ft
3448 m"	"4,849 ft
1478 m"	"26.6 mi
42.8 km"	40.9508°N 115.1224°W
136	Culebra Peak[314][315][er][es][et]	 Colorado	Culebra Range	"14,053 ft
4283 m"	"4,827 ft
1471 m"	"35.4 mi
56.9 km"	37.1224°N 105.1858°W
137	Hyndman Peak[316][317][eu]	 Idaho	Pioneer Mountains (Idaho)	"12,008 ft
3660 m"	"4,810 ft
1466 m"	"30.2 mi
48.6 km"	43.7495°N 114.1311°W
	Ruby Dome[318][319][320][ev][ew]	 Nevada	Ruby Mountains	"11,392 ft
3472 m"	"4,810 ft
1466 m"	"94.7 mi
152.5 km"	40.6217°N 115.4754°W
	Round Mountain[321][322][ex]	 Washington	Cascade Range	"5,344 ft
1629 m"	"4,810 ft
1466 m"	"8.67 mi
13.95 km"	48.3265°N 121.7507°W
140	Mount Pinos[323][324][325][ey]	 California	San Emigdio Mountains	"8,847 ft
2696.5 m"	"4,800 ft
1463 m"	"82.9 mi
133.5 km"	34.8128°N 119.1454°W
141	Mount Spickard[326][327][328]	 Washington	Skagit Range	"8,980 ft
2737.2 m"	"4,799 ft
1463 m"	"18.78 mi
30.2 km"	48.9697°N 121.2405°W
142	Troy Peak[329][330][331][ez]	 Nevada	Grant Range	"11,302 ft
3445 m"	"4,790 ft
1460 m"	"40 mi
64.3 km"	38.3194°N 115.5019°W
143	Granite Peak[332][333][334][fa]	 Montana	Beartooth Mountains	"12,807 ft
3903.5 m"	"4,779 ft
1457 m"	"86 mi
138.5 km"	45.1634°N 109.8075°W
	"Cleave Peak[335][336]
(Peak 7500)"	 Alaska	Chugach Mountains	"7,550 ft
2301 m"	"4,779 ft
1457 m"	"11.86 mi
19.08 km"	61.1256°N 145.3006°W
145	Mount Jarvis[337][338]	 Alaska	Wrangell Mountains	"13,421 ft
4091 m"	"4,771 ft
1454 m"	"11.15 mi
17.95 km"	62.0234°N 143.6198°W
146	Copper Butte[339][340][341][fb]	 Washington	Columbia Mountains	"7,150 ft
2179.3 m"	"4,760 ft
1451 m"	"30.2 mi
48.7 km"	48.7025°N 118.4656°W
147	Chunekukleik Mountain[342][343]	 Alaska	Saint Elias Mountains	"5,780 ft
1762 m"	"4,730 ft
1442 m"	"7.61 mi
12.24 km"	59.2919°N 135.9529°W
148	Mount Baldy[344][345][346][fc]	 Arizona	White Mountains	"11,409 ft
3477.4 m"	"4,728 ft
1441 m"	"154 mi
248 km"	33.9059°N 109.5626°W
149	Delano Peak[347][348][349][fd]	 Utah	Tushar Mountains	"12,174 ft
3710.7 m"	"4,709 ft
1435 m"	"112.1 mi
180.5 km"	38.3692°N 112.3714°W
150	Double Peak[350][351]	 Alaska	Chigmit Mountains	"6,818 ft
2078 m"	"4,701 ft
1433 m"	"17.75 mi
28.6 km"	60.7296°N 152.5861°W
