Continent,state,Name,summit,broadrelief,steeprelief,lat,lon,broadcoord.X,broadcoord.Y,steepcoord.X,steepcoord.Y
SOUTHERN AMERICA,Venezuela,Mount Roraima,2772,2271,2073,5.21361111111111,-60.7466666666667,-61.0056106164989,5.47403879543328,-61.0056106164989,5.47403879543328
NORTHERN AMERICA,Washington,Jack Mountain,2766,2498,2293,48.7728,-120.9562,-121.336782025796,49.0231934660493,-121.336782025796,49.0231934660493
EUROPE,Macedonia,Korab,2764,2430,1652,41.7908333333333,20.5461111111111,20.2094462682147,42.0413081269139,20.2094462682147,42.0413081269139
NORTHERN AMERICA,Nayarit,Cerro Del Faro,2760,2376,1751,21.3108333333333,-104.049444444444,-104.317601431585,21.5610214671926,-104.018356021886,21.3354418218118
NORTHERN AMERICA,Yukon,Mount Macdonald,2760,2001,1736,64.7256,-132.7781,-133.36522408164,64.9735740340707,-133.36522408164,64.9735740340707
NORTHERN AMERICA,British Columbia,Howson Peak,2759,2528,2218,54.4185,-127.7441,-127.897058346302,54.4370445581319,-128.196420955421,54.6811017744743
NORTHERN AMERICA,California,Mount Eddy,2755,2018,1384,41.3196,-122.479,-122.377852088421,41.2720587130517,-122.446439493211,41.3486336763115
NORTHERN AMERICA,British Columbia,Thudaka Mountain,2748,1549,1462,57.9272,-126.8485,-127.305628681212,58.1674101333513,-126.855338264278,57.9437652490997
NORTHERN AMERICA,Greenland,Patuersoq,2740,0,0,60.8333,-44.2333,-44.7449681940365,61.080342190037,-44.7449681940365,61.080342190037
NORTHERN AMERICA,Alaska,Kichatna Spire,2739,2541,2127,62.4231,-152.7231,-153.260020554082,62.6686793490482,-153.260020554082,62.6686793490482
NORTHERN AMERICA,Washington,Mount Spickard,2737,2264,2109,48.9697,-121.2405,-121.618579346769,49.2159573927379,-121.618579346769,49.2159573927379
NORTHERN AMERICA,Alaska,Mount Isto,2736,2119,1758,69.2025,-143.802,-144.503246163744,69.4477449003806,-143.700738615125,69.1981225337278
SOUTHERN AMERICA,Honduras,Cerro El Pital,2730,2306,1993,14.3844444444444,-89.1291666666667,-89.3839193014092,14.6333501687518,-89.1657461259465,14.3939768038352
NORTHERN AMERICA,British Columbia,Mount Jancowski,2729,2388,2312,56.3372,-129.9817,-129.950003412224,56.2470724444732,-130.429786969244,56.5830513375119
NORTHERN AMERICA,Oregon,Mount Scott,2722,1315,798,42.9227777777778,-122.016111111111,-122.353622868216,43.1703182380608,-122.006252466481,42.9142708216699
NORTHERN AMERICA,Alaska,Mount Chamberlin,2713,2260,1851,69.2775,-144.9107,-145.60843446784,69.5203405322762,-145.60843446784,69.5203405322762
NORTHERN AMERICA,Chihuahua,Cerro San José,2710,1251,851,30.5483,-108.6167,-108.898432037803,30.7918554570152,-108.611125532132,30.5260649319499
NORTHERN AMERICA,Arizona,Canyon Rim View High Point,2707,1692,1314,36.3013888888889,-111.996388888889,-112.290139562335,36.5370924789907,-112.290139562335,36.5370924789907
NORTHERN AMERICA,Alaska,Sovereign Mountain,2697,2262,1467,62.1311,-148.6044,-149.128308459668,62.3735913543793,-149.128308459668,62.3735913543793
